B   1999-08-28   14.1
E   1999-12-06   12.2
E   1993-07-21   17.0
C   1991-02-12   13.8
E   1995-04-25   16.9
A   1992-08-22   14.8
B   1999-06-11   12.1
E   1993-01-27   13.2
E   1999-09-10   11.3
E   1990-05-03   16.4
E   1994-02-14   10.5
A   1988-04-27   12.6
A   1990-10-06   10.7
E   1985-02-12   16.8
E   1998-09-14   16.9
B   1994-08-30   17.0
A   1997-12-15   13.6
B   1995-08-23   10.7
B   1998-11-22   13.8
B   1997-04-09   14.9
E   1993-12-27   18.4
E   1999-01-14   15.3
A   1992-09-19   18.2
B   1993-03-02   14.4
B   1999-10-21   13.5
A   1990-08-31   12.6
C   1994-01-25   10.7
E   1990-02-09   18.8
A   1990-09-26   14.9
A   1993-05-08   16.8
B   1995-09-06   14.7
E   1991-02-18   14.6
A   1993-01-11   14.5
A   1990-07-22   18.4
C   1994-09-09   15.3
C   1994-07-27   10.2
D   1990-10-10   15.1
A   1990-09-05   11.0
B   1991-10-01   15.0
A   1994-10-25   13.1
